Screw,Head,Flowrate,Mass,AV
1,1,0.00177844,0.1,
1,1,0.00177844,0.2,12.66466667
1,1,0.00177844,0.3,12.17622222
1,1,0.00177844,0.4,11.72266667
1,1,0.00177844,0.5,11.19933333
1,1,0.00177844,0.6,11.05977778
1,1,0.00177844,0.7,10.71088889
1,1,0.00177844,0.8,9.280444444
1,1,0.00177844,0.9,7.640666667
1,1,0.00177844,1,5.896222222
1,1,0.004851165,0.1,
1,1,0.004851165,0.2,27.632
1,1,0.004851165,0.3,23.75933333
1,1,0.004851165,0.4,23.48022222
1,1,0.004851165,0.5,22.18933333
1,1,0.004851165,0.6,21.56133333
1,1,0.004851165,0.7,21.24733333
1,1,0.004851165,0.8,20.54955556
1,1,0.004851165,0.9,19.468
1,1,0.004851165,1,18.90977778
1,1,0.004851165,1.1,19.36333333
1,1,0.004851165,1.2,18.212
1,1,0.004851165,1.3,17.65377778
1,1,0.004851165,1.4,17.23511111
1,1,0.004851165,1.5,18.07244444
1,1,0.004851165,1.6,15.76977778
1,1,0.004851165,1.7,14.68822222
1,1,0.004851165,1.8,15.59533333
1,1,0.004851165,1.9,14.40911111
1,1,0.004851165,2,14.33933333
1,1,0.004851165,2.1,14.30444444
1,1,0.004851165,2.2,13.36244444
1,1,0.004851165,2.3,13.15311111
1,1,0.004851165,2.4,12.94377778
1,1,0.004851165,2.5,12.76933333
1,1,0.004851165,2.6,12.49022222
1,1,0.004851165,2.7,11.68777778
1,1,0.004851165,2.8,10.676
1,1,0.004851165,2.9,11.40866667
1,1,0.004851165,3,10.74577778
1,1,0.004851165,3.1,10.85044444
1,1,0.004851165,3.2,10.81555556
1,1,0.004851165,3.3,8.687333333
1,0.9,0.00177844,0.2,15.87444444
1,0.9,0.00177844,0.4,15.10688889
1,0.9,0.00177844,0.6,11.51333333
1,0.9,0.00177844,0.8,9.385111111
1,0.9,0.00177844,1,6.594
1,0.9,0.00177844,1.2,7.082444444
1,0.9,0.004851165,0.2,25.05022222
1,0.9,0.004851165,0.4,23.34066667
1,0.9,0.004851165,0.6,22.50333333
1,0.9,0.004851165,0.8,21.352
1,0.9,0.004851165,1,19.71222222
1,0.9,0.004851165,1.2,18.45622222
1,0.9,0.004851165,1.4,17.65377778
1,0.9,0.004851165,1.6,16.53733333
1,0.9,0.004851165,1.8,14.72311111
1,0.9,0.004851165,2,14.33933333
1,0.9,0.004851165,2.2,12.83911111
1,0.9,0.004851165,2.4,12.49022222
1,0.9,0.004851165,2.6,10.78066667
1,0.9,0.004851165,2.8,10.85044444
1,0.9,0.004851165,3,7.361555556
1,0.8,0.009907762,0.2,29.30666667
1,0.8,0.009907762,0.4,28.67866667
1,0.8,0.009907762,0.6,27.70177778
1,0.8,0.009907762,0.8,27.004
1,0.8,0.009907762,1,26.27133333
1,0.8,0.009907762,1.2,25.434
1,0.8,0.009907762,1.4,24.70133333
1,0.8,0.009907762,1.6,23.96866667
1,0.8,0.009907762,1.8,23.02666667
1,0.8,0.009907762,2,22.608
1,0.8,0.009907762,2.2,21.98
1,0.8,0.009907762,2.4,21.52644444
1,0.8,0.009907762,2.6,20.51466667
1,0.8,0.009907762,2.8,19.71222222
1,0.8,0.009907762,3,19.782
1,0.8,0.009907762,3.2,19.154
1,0.8,0.009907762,3.4,18.73533333
1,0.8,0.009907762,3.6,18.35155556
1,0.8,0.009907762,3.8,16.78155556
1,0.8,0.009907762,4,16.642
1,0.8,0.009907762,4.2,16.25822222
1,0.8,0.009907762,4.4,14.96733333
1,0.8,0.009907762,4.6,14.72311111
1,0.8,0.009907762,4.8,15.386
1,0.8,0.009907762,5,14.33933333
1,0.8,0.009907762,5.2,12.45533333
1,0.8,0.009907762,5.4,12.17622222
1,0.8,0.009907762,5.6,12.10644444
1,0.8,0.009907762,5.8,10.57133333
1,0.8,0.009907762,6,7.919777778
1,0.8,0.01725512,0.2,32.48155556
1,0.8,0.01725512,0.4,31.78377778
1,0.8,0.01725512,0.6,31.19066667
1,0.8,0.01725512,0.8,30.84177778
1,0.8,0.01725512,1,30.63244444
1,0.8,0.01725512,1.2,30.24866667
1,0.8,0.01725512,1.4,29.34155556
1,0.8,0.01725512,1.6,29.48111111
1,0.8,0.01725512,1.8,28.67866667
1,0.8,0.01725512,2,28.43444444
1,0.8,0.01725512,2.2,27.91111111
1,0.8,0.01725512,2.4,27.24822222
1,0.8,0.01725512,2.6,26.62022222
1,0.8,0.01725512,2.8,26.58533333
1,0.8,0.01725512,3,26.20155556
1,0.8,0.01725512,3.2,25.12
1,0.8,0.01725512,3.4,24.91066667
1,0.8,0.01725512,3.6,24.806
1,0.8,0.01725512,3.8,22.608
1,0.8,0.01725512,4,24.31755556
1,0.8,0.01725512,4.2,24.56177778
1,0.8,0.01725512,4.4,23.20111111
1,0.8,0.01725512,4.6,22.71266667
1,0.8,0.01725512,4.8,22.18933333
1,0.8,0.01725512,5,20.82866667
1,0.8,0.01725512,5.2,22.01488889
1,0.8,0.01725512,5.4,19.32844444
1,0.8,0.01725512,5.6,19.71222222
1,0.8,0.01725512,5.8,18.49111111
1,0.8,0.01725512,6,18.10733333
1,0.8,0.01725512,6.2,15.90933333
1,0.8,0.01725512,6.4,12.52511111
1,0.7,0.009907762,0.2,26.93422222
1,0.7,0.009907762,0.4,26.79466667
1,0.7,0.009907762,0.6,25.748
1,0.7,0.009907762,0.8,25.50377778
1,0.7,0.009907762,1,24.178
1,0.7,0.009907762,1.2,23.82911111
1,0.7,0.009907762,1.4,22.81733333
1,0.7,0.009907762,1.6,22.01488889
1,0.7,0.009907762,1.8,21.84044444
1,0.7,0.009907762,2,21.17755556
1,0.7,0.009907762,2.2,19.60755556
1,0.7,0.009907762,2.4,20.47977778
1,0.7,0.009907762,2.6,19.53777778
1,0.7,0.009907762,2.8,18.84
1,0.7,0.009907762,3,18.07244444
1,0.7,0.009907762,3.2,18.00266667
1,0.7,0.009907762,3.4,17.51422222
1,0.7,0.009907762,3.6,16.50244444
1,0.7,0.009907762,3.8,16.60711111
1,0.7,0.009907762,4,15.59533333
1,0.7,0.009907762,4.2,14.06022222
1,0.7,0.009907762,4.4,13.816
1,0.7,0.009907762,4.6,13.99044444
1,0.7,0.009907762,4.8,14.06022222
1,0.7,0.009907762,5,11.44355556
1,0.7,0.009907762,5.2,12.28088889
1,0.7,0.009907762,5.4,12.38555556
1,0.7,0.009907762,5.6,11.12955556
1,0.7,0.009907762,5.8,10.99
1,0.7,0.01725512,0.2,
1,0.7,0.01725512,0.4,28.15533333
1,0.7,0.01725512,0.6,27.38777778
1,0.7,0.01725512,0.8,26.96911111
1,0.7,0.01725512,1,22.71266667
1,0.7,0.01725512,1.2,25.81777778
1,0.7,0.01725512,1.4,25.57355556
1,0.7,0.01725512,1.6,25.25955556
1,0.7,0.01725512,1.8,24.38733333
1,0.7,0.01725512,2,24.03844444
1,0.7,0.01725512,2.2,23.30577778
1,0.7,0.01725512,2.4,23.06155556
1,0.7,0.01725512,2.6,21.84044444
1,0.7,0.01725512,2.8,22.22422222
1,0.7,0.01725512,3,21.21244444
1,0.7,0.01725512,3.2,20.82866667
1,0.7,0.01725512,3.4,20.86355556
1,0.7,0.01725512,3.6,20.37511111
1,0.7,0.01725512,3.8,19.32844444
1,0.7,0.01725512,4,19.01444444
1,0.7,0.01725512,4.2,19.04933333
1,0.7,0.01725512,4.4,18.31666667
1,0.7,0.01725512,4.6,17.47933333
1,0.7,0.01725512,4.8,17.13044444
1,0.7,0.01725512,5,17.40955556
1,0.7,0.01725512,5.2,16.71177778
1,0.7,0.01725512,5.4,14.72311111
1,0.7,0.01725512,5.6,14.444
1,0.7,0.01725512,5.8,13.88577778
1,0.7,0.01725512,6,12.90888889
1,0.7,0.01725512,6.2,12.38555556
1,0.7,0.01725512,6.4,12.03666667
1,0.7,0.01725512,6.6,11.89711111
1,0.7,0.01725512,6.8,10.18755556
1,0.7,0.01725512,7,10.18755556
1,0.7,0.01725512,7.2,9.140888889
1,0.7,0.01725512,7.4,8.966444444
2,0.7,0.00177844,0.2,13.43222222
2,0.7,0.00177844,0.4,9.768888889
2,0.7,0.00177844,0.6,7.815111111
2,0.7,0.004851165,0.2,24.21288889
2,0.7,0.004851165,0.4,23.864
2,0.7,0.004851165,0.6,22.81733333
2,0.7,0.004851165,0.8,21.07288889
2,0.7,0.004851165,1,20.16577778
2,0.7,0.004851165,1.2,18.70044444
2,0.7,0.004851165,1.4,17.40955556
2,0.7,0.004851165,1.6,16.25822222
2,0.7,0.004851165,1.8,15.28133333
2,0.7,0.004851165,2,13.95555556
2,0.7,0.004851165,2.2,13.46711111
2,0.7,0.004851165,2.4,11.54822222
2,0.7,0.004851165,2.6,11.75755556
2,0.7,0.004851165,2.8,12.14133333
2,0.7,0.004851165,3,10.32711111
2,0.7,0.004851165,3.2,11.02488889
2,0.7,0.004851165,3.4,10.18755556
2,0.7,0.004851165,3.6,8.722222222
2,0.7,0.004851165,3.8,8.408222222
2,0.7,0.004851165,4,7.605777778
2,0.8,0.00177844,0.2,14.09511111
2,0.8,0.00177844,0.4,11.82733333
2,0.8,0.00177844,0.6,10.25733333
2,0.8,0.00177844,0.8,8.443111111
2,0.8,0.00177844,1,6.873111111
2,0.8,0.00177844,1.2,4.535555556
2,0.8,0.004851165,0.2,25.39911111
2,0.8,0.004851165,0.4,23.34066667
2,0.8,0.004851165,0.6,22.53822222
2,0.8,0.004851165,0.8,21.666
2,0.8,0.004851165,1,19.71222222
2,0.8,0.004851165,1.2,18.03755556
2,0.8,0.004851165,1.4,16.92111111
2,0.8,0.004851165,1.6,16.328
2,0.8,0.004851165,1.8,14.93244444
2,0.8,0.004851165,2,14.19977778
2,0.8,0.004851165,2.2,12.874
2,0.8,0.004851165,2.4,13.11822222
2,0.8,0.004851165,2.6,12.10644444
2,0.8,0.004851165,2.8,10.57133333
2,0.8,0.004851165,3,9.943333333
2,0.8,0.004851165,3.2,9.210666667
2,0.8,0.004851165,3.4,8.931555556
2,0.8,0.004851165,3.6,8.652444444
2,0.8,0.004851165,3.8,6.489333333
2,0.8,0.004851165,4,6.803333333
2,0.8,0.004851165,4.2,7.989555556
2,0.8,0.004851165,4.4,5.931111111
2,0.9,0.009907762,0.4,34.05155556
2,0.9,0.009907762,0.8,32.656
2,0.9,0.009907762,1.2,30.84177778
2,0.9,0.009907762,1.6,27.946
2,0.9,0.009907762,2,25.81777778
2,0.9,0.009907762,2.4,25.32933333
2,0.9,0.009907762,2.8,22.95688889
2,0.9,0.009907762,3.2,22.11955556
2,0.9,0.009907762,3.6,21.21244444
2,0.9,0.009907762,4,19.67733333
2,0.9,0.009907762,4.4,18.59577778
2,0.9,0.009907762,4.8,17.898
2,0.9,0.009907762,5.2,16.53733333
2,0.9,0.009907762,5.6,15.45577778
2,0.9,0.009907762,6,14.16488889
2,0.9,0.009907762,6.4,11.16444444
2,0.9,0.009907762,6.8,12.28088889
2,0.9,0.009907762,7.2,12.14133333
2,0.9,0.009907762,7.6,10.95511111
2,0.9,0.009907762,8,9.385111111
2,0.9,0.009907762,8.4,7.536
2,0.9,0.009907762,8.8,8.687333333
2,0.9,0.009907762,9.2,6.454444444
2,0.9,0.009907762,9.6,5.652
2,0.9,0.01725512,0.4,38.34288889
2,0.9,0.01725512,0.8,37.50555556
2,0.9,0.01725512,1.2,36.28444444
2,0.9,0.01725512,1.6,33.94688889
2,0.9,0.01725512,2,32.97
2,0.9,0.01725512,2.4,32.13266667
2,0.9,0.01725512,2.8,31.33022222
2,0.9,0.01725512,3.2,30.144
2,0.9,0.01725512,3.6,29.41133333
2,0.9,0.01725512,4,26.48066667
2,0.9,0.01725512,4.4,27.70177778
2,0.9,0.01725512,4.8,27.03888889
2,0.9,0.01725512,5.2,25.08511111
2,0.9,0.01725512,5.6,23.41044444
2,0.9,0.01725512,6,24.45711111
2,0.9,0.01725512,6.4,21.10777778
2,0.9,0.01725512,6.8,20.89844444
2,0.9,0.01725512,7.2,19.81688889
2,0.9,0.01725512,7.6,19.88666667
2,0.9,0.01725512,8,21.07288889
2,0.9,0.01725512,8.4,20.30533333
2,0.9,0.01725512,8.8,18.28177778
2,0.9,0.01725512,9.2,18.90977778
2,0.9,0.01725512,9.6,17.96777778
2,0.9,0.01725512,10,16.014
2,0.9,0.01725512,10.4,15.10688889
2,0.9,0.01725512,10.8,14.65333333
2,0.9,0.01725512,11.2,15.35111111
2,0.9,0.01725512,11.6,13.64155556
2,0.9,0.01725512,12,12.874
2,0.9,0.01725512,12.4,13.43222222
2,0.9,0.01725512,12.8,12.14133333
2,0.9,0.01725512,13.2,11.26911111
2,0.9,0.01725512,13.6,11.304
2,0.9,0.01725512,14,10.95511111
2,0.9,0.01725512,14.4,8.198888889
2,0.9,0.01725512,14.8,6.349777778
2,0.9,0.01725512,15.2,6.698666667
2,0.9,0.01725512,15.6,6.070666667
2,0.9,0.01725512,16,5.652
2,1,0.009907762,0.4,35.482
2,1,0.009907762,0.8,34.05155556
2,1,0.009907762,1.2,32.342
2,1,0.009907762,1.6,30.66733333
2,1,0.009907762,2,28.574
2,1,0.009907762,2.4,27.21333333
2,1,0.009907762,2.8,23.65466667
2,1,0.009907762,3.2,25.15488889
2,1,0.009907762,3.6,22.608
2,1,0.009907762,4,22.08466667
2,1,0.009907762,4.4,20.724
2,1,0.009907762,4.8,19.99133333
2,1,0.009907762,5.2,17.82822222
2,1,0.009907762,5.6,16.88622222
2,1,0.009907762,6,15.072
2,1,0.009907762,6.4,15.90933333
2,1,0.009907762,6.8,13.36244444
2,1,0.009907762,7.2,11.304
2,1,0.009907762,7.6,11.96688889
2,1,0.01725512,0.4,38.622
2,1,0.01725512,0.8,37.85444444
2,1,0.01725512,1.2,37.40088889
2,1,0.01725512,1.6,36.07511111
2,1,0.01725512,2,35.27266667
2,1,0.01725512,2.4,33.24911111
2,1,0.01725512,2.8,31.64422222
2,1,0.01725512,3.2,32.06288889
2,1,0.01725512,3.6,29.62066667
2,1,0.01725512,4,29.30666667
2,1,0.01725512,4.4,28.53911111
2,1,0.01725512,4.8,27.66688889
2,1,0.01725512,5.2,26.41088889
2,1,0.01725512,5.6,27.77155556
2,1,0.01725512,6,26.41088889
2,1,0.01725512,6.4,25.50377778
2,1,0.01725512,6.8,24.492
2,1,0.01725512,7.2,25.57355556
2,1,0.01725512,7.6,24.66644444
2,1,0.01725512,8,21.59622222
2,1,0.01725512,8.4,21.00311111
2,1,0.01725512,8.8,22.18933333
2,1,0.01725512,9.2,20.724
2,1,0.01725512,9.6,14.758
2,1,0.01725512,10,18.24688889
